"country","continent","year","value","injuries","iso_alpha"
"AFGHANISTAN","Asia",2016,5.0,5.0,"AFG"
"ALGERIA","Africa",2016,5.0,28.0,"DZA"
"CHILE","South America",2016,7.0,0.0,"CHL"
"CHINA","Asia",2016,5.0,0.0,"CHN"
"COSTA RICA","North America",2016,6.0,0.0,"CRI"
"ECUADOR","South America",2016,6.0,2161.0,"ECU"
"INDIA","Asia",2016,7.0,100.0,"IND"
"INDONESIA","Asia",2016,5.166666666666667,152.16666666666666,"IDN"
"ITALY","Europe",2016,7.666666666666667,129.33333333333334,"ITA"
"JAPAN","Asia",2016,5.75,380.5,"JPN"
"MACEDONIA","Europe",2016,6.0,30.0,"MKD"
"MOROCCO","Africa",2016,6.0,26.0,"MAR"
"MYANMAR (BURMA)","Asia",2016,5.0,95.0,"MMR"
"NEPAL","Asia",2016,4.0,1.0,"NPL"
"NEW ZEALAND","Australia",2016,6.5,0.0,"NZL"
"NICARAGUA","North America",2016,4.5,2.5,"NIC"
"PAKISTAN","Asia",2016,2.0,0.0,"PAK"
"PAPUA NEW GUINEA","Australia",2016,7.0,0.0,"PNG"
"PERU","South America",2016,6.0,42.5,"PER"
"SOLOMON ISLANDS","Australia",2016,7.5,0.0,"SLB"
"SOUTH KOREA","Asia",2016,6.0,14.0,"KOR"
"TAIWAN","Asia",2016,7.0,525.0,"TWN"
"USA","North America",2016,6.0,0.0,"USA"
"USA TERRITORY","North America",2016,4.0,0.0,"USA"
